redfinID,redfin,tractID
124,"San Francisco, CA - Anza Vista",15700
124,"San Francisco, CA - Anza Vista",15801
125,"San Francisco, CA - Ashbury Heights / Parnassus",17101
125,"San Francisco, CA - Ashbury Heights / Parnassus",17102
126,"San Francisco, CA - Bayview",23102
126,"San Francisco, CA - Bayview",61200
126,"San Francisco, CA - Bayview",23200
126,"San Francisco, CA - Bayview",23300
127,"San Francisco, CA - Bernal Heights",25100
127,"San Francisco, CA - Bernal Heights",25200
127,"San Francisco, CA - Bernal Heights",25300
127,"San Francisco, CA - Bernal Heights",25401
127,"San Francisco, CA - Bernal Heights",25402
127,"San Francisco, CA - Bernal Heights",25403
128,"San Francisco, CA - Bret Harte",23400
128,"San Francisco, CA - Bret Harte",23300
129,"San Francisco, CA - Buena Vista",16700
129,"San Francisco, CA - Buena Vista",17000
129,"San Francisco, CA - Buena Vista",16600
130,"San Francisco, CA - Candlestick Point State Recreation Area",61000
131,"San Francisco, CA - Castro",20500
131,"San Francisco, CA - Castro",20600
131,"San Francisco, CA - Castro",20300
132,"San Francisco, CA - Cathedral Hill",15100
132,"San Francisco, CA - Cathedral Hill",16000
132,"San Francisco, CA - Cathedral Hill",15900
133,"San Francisco, CA - Cayuga",26100
134,"San Francisco, CA - Clarendon Heights",30500
134,"San Francisco, CA - Clarendon Heights",20401
134,"San Francisco, CA - Clarendon Heights",20402
135,"San Francisco, CA - Corona Heights",17000
136,"San Francisco, CA - Crocker Amazon",26301
136,"San Francisco, CA - Crocker Amazon",26302
136,"San Francisco, CA - Crocker Amazon",26303
137,"San Francisco, CA - Dolores Heights",20600
137,"San Francisco, CA - Dolores Heights",20700
137,"San Francisco, CA - Dolores Heights",21000
137,"San Francisco, CA - Dolores Heights",21100
138,"San Francisco, CA - Duboce Triangle",16900
139,"San Francisco, CA - Eureka Valley",20401
139,"San Francisco, CA - Eureka Valley",20500
140,"San Francisco, CA - Excelsior",26001
140,"San Francisco, CA - Excelsior",26002
140,"San Francisco, CA - Excelsior",26003
140,"San Francisco, CA - Excelsior",26004
141,"San Francisco, CA - Fairmount",21700
141,"San Francisco, CA - Fairmount",21800
142,"San Francisco, CA - Golden Gate Heights",30400
142,"San Francisco, CA - Golden Gate Heights",30302
142,"San Francisco, CA - Golden Gate Heights",30301
143,"San Francisco, CA - Haight Ashbury",16600
144,"San Francisco, CA - Hunters Point",23103
144,"San Francisco, CA - Hunters Point",23200
145,"San Francisco, CA - Ingleside",31201
145,"San Francisco, CA - Ingleside",31202
145,"San Francisco, CA - Ingleside",31301
146,"San Francisco, CA - Inner Richmond",47600
146,"San Francisco, CA - Inner Richmond",45200
146,"San Francisco, CA - Inner Richmond",45100
146,"San Francisco, CA - Inner Richmond",40200
146,"San Francisco, CA - Inner Richmond",42602
146,"San Francisco, CA - Inner Richmond",40100
147,"San Francisco, CA - Inner Sunset",30201
147,"San Francisco, CA - Inner Sunset",30202
147,"San Francisco, CA - Inner Sunset",30101
147,"San Francisco, CA - Inner Sunset",30301
148,"San Francisco, CA - Laguna Honda",30600
149,"San Francisco, CA - Lake Street",42601
149,"San Francisco, CA - Lake Street",42602
149,"San Francisco, CA - Lake Street",42800
150,"San Francisco, CA - Lakeshore",33100
150,"San Francisco, CA - Lakeshore",60400
151,"San Francisco, CA - Laurel Heights-Jordan Park",15400
152,"San Francisco, CA - Lone Mountain",15600
152,"San Francisco, CA - Lone Mountain",15700
153,"San Francisco, CA - Lower Haight",16700
153,"San Francisco, CA - Lower Haight",16801
153,"San Francisco, CA - Lower Haight",16802
154,"San Francisco, CA - Lower Nob Hill",12000
154,"San Francisco, CA - Lower Nob Hill",12100
155,"San Francisco, CA - Lower Pacific Heights",15300
155,"San Francisco, CA - Lower Pacific Heights",15500
156,"San Francisco, CA - Marina District",12601
156,"San Francisco, CA - Marina District",12602
156,"San Francisco, CA - Marina District",12901
156,"San Francisco, CA - Marina District",12902
156,"San Francisco, CA - Marina District",12700
157,"San Francisco, CA - Merced Heights",31302
158,"San Francisco, CA - Mission Bay",60700
159,"San Francisco, CA - Mission District",20100
159,"San Francisco, CA - Mission District",17700
159,"San Francisco, CA - Mission District",20800
159,"San Francisco, CA - Mission District",22801
159,"San Francisco, CA - Mission District",22803
159,"San Francisco, CA - Mission District",22901
159,"San Francisco, CA - Mission District",22902
159,"San Francisco, CA - Mission District",20900
160,"San Francisco, CA - Mission Dolores",20200
160,"San Francisco, CA - Mission Dolores",20300
160,"San Francisco, CA - Mission Dolores",20700
161,"San Francisco, CA - Mission Terrace",25500
161,"San Francisco, CA - Mission Terrace",25600
162,"San Francisco, CA - Nob Hill",11000
162,"San Francisco, CA - Nob Hill",10800
162,"San Francisco, CA - Nob Hill",11200
163,"San Francisco, CA - Noe Valley",21100
163,"San Francisco, CA - Noe Valley",21200
163,"San Francisco, CA - Noe Valley",21300
163,"San Francisco, CA - Noe Valley",21400
163,"San Francisco, CA - Noe Valley",21500
163,"San Francisco, CA - Noe Valley",21600
164,"San Francisco, CA - Oceanview",31202
164,"San Francisco, CA - Oceanview",31400
165,"San Francisco, CA - Outer Mission",26200
166,"San Francisco, CA - Outer Richmond",47901
166,"San Francisco, CA - Outer Richmond",47802
166,"San Francisco, CA - Outer Richmond",47801
166,"San Francisco, CA - Outer Richmond",42700
166,"San Francisco, CA - Outer Richmond",42601
166,"San Francisco, CA - Outer Richmond",47701
166,"San Francisco, CA - Outer Richmond",47702
167,"San Francisco, CA - Outer Sunset",35400
167,"San Francisco, CA - Outer Sunset",35300
167,"San Francisco, CA - Outer Sunset",35201
167,"San Francisco, CA - Outer Sunset",35202
167,"San Francisco, CA - Outer Sunset",35100
167,"San Francisco, CA - Outer Sunset",32601
167,"San Francisco, CA - Outer Sunset",32700
167,"San Francisco, CA - Outer Sunset",32802
167,"San Francisco, CA - Outer Sunset",32902
168,"San Francisco, CA - Pacific Heights",13200
168,"San Francisco, CA - Pacific Heights",13400
168,"San Francisco, CA - Pacific Heights",13500
168,"San Francisco, CA - Pacific Heights",13101
168,"San Francisco, CA - Pacific Heights",13102
169,"San Francisco, CA - Panhandle",16500
169,"San Francisco, CA - Panhandle",16400
170,"San Francisco, CA - Parkside",33000
170,"San Francisco, CA - Parkside",32901
170,"San Francisco, CA - Parkside",32801
171,"San Francisco, CA - Polk Gulch",10900
171,"San Francisco, CA - Polk Gulch",11000
171,"San Francisco, CA - Polk Gulch",11100
172,"San Francisco, CA - Portola",25701
172,"San Francisco, CA - Portola",25702
172,"San Francisco, CA - Portola",25800
172,"San Francisco, CA - Portola",25900
173,"San Francisco, CA - Potrero Hill",22702
173,"San Francisco, CA - Potrero Hill",22704
173,"San Francisco, CA - Potrero Hill",61400
173,"San Francisco, CA - Potrero Hill",22802
173,"San Francisco, CA - Potrero Hill",22903
174,"San Francisco, CA - Presidio Heights",13300
175,"San Francisco, CA - Presidio Terrace",40100
175,"San Francisco, CA - Presidio Terrace",40200
176,"San Francisco, CA - Russian Hill",10200
176,"San Francisco, CA - Russian Hill",10300
176,"San Francisco, CA - Russian Hill",10800
176,"San Francisco, CA - Russian Hill",10900
177,"San Francisco, CA - Seacliff",42800
178,"San Francisco, CA - Silver Terrace",23001
178,"San Francisco, CA - Silver Terrace",23003
179,"San Francisco, CA - South Beach",61500
180,"San Francisco, CA - South of Market",17601
180,"San Francisco, CA - South of Market",17802
180,"San Francisco, CA - South of Market",18000
180,"San Francisco, CA - South of Market",17700
181,"San Francisco, CA - St Marys Park",25403
182,"San Francisco, CA - Sunnyside",31100
183,"San Francisco, CA - Telegraph Hill",10400
184,"San Francisco, CA - Tenderloin",12202
184,"San Francisco, CA - Tenderloin",12201
184,"San Francisco, CA - Tenderloin",12401
184,"San Francisco, CA - Tenderloin",12402
184,"San Francisco, CA - Tenderloin",12301
184,"San Francisco, CA - Tenderloin",12501
184,"San Francisco, CA - Tenderloin",12502
185,"San Francisco, CA - Union Street",12902
185,"San Francisco, CA - Union Street",13000
186,"San Francisco, CA - University Mound",25600
186,"San Francisco, CA - University Mound",25701
186,"San Francisco, CA - University Mound",25900
187,"San Francisco, CA - Upper Market",20402
187,"San Francisco, CA - Upper Market",21200
187,"San Francisco, CA - Upper Market",21300
188,"San Francisco, CA - Visitacion Valley",26401
188,"San Francisco, CA - Visitacion Valley",26402
188,"San Francisco, CA - Visitacion Valley",26403
188,"San Francisco, CA - Visitacion Valley",26404
189,"San Francisco, CA - West Portal",30800
190,"San Francisco, CA - Western Addition",15801
190,"San Francisco, CA - Western Addition",15801
190,"San Francisco, CA - Western Addition",15900
190,"San Francisco, CA - Western Addition",16100
